Date,High,Low,Open,Close,Volume,Difference
2010-07-18,0.1,0.1,0,0.1,6550,0
2010-07-25,0.1,0.1,0.1,0.1,25290,0
2010-08-01,0.1,0.1,0.1,0.1,28560,0
2010-08-08,0.1,0.1,0.1,0.1,41260,0
2010-08-15,0.1,0.1,0.1,0.1,46720,0
2010-08-22,0.1,0.1,0.1,0.1,52940,0
2010-08-29,0.1,0,0.1,0.1,71760,0
2010-09-05,0.1,0.1,0.1,0.1,29590,0
2010-09-12,0.2,0.1,0.1,0.1,43620,0
2010-09-19,0.1,0.1,0.1,0.1,62800,0
2010-09-26,0.1,0.1,0.1,0.1,76070,0
2010-10-03,0.1,0,0.1,0.1,472960,0
2010-10-10,0.1,0.1,0.1,0.1,206140,0
2010-10-17,0.1,0.1,0.1,0.1,165870,0
2010-10-24,0.2,0.1,0.1,0.2,205850,0.8853
2010-10-31,0.5,0.1,0.2,0.4,228000,0.9608
2010-11-07,0.5,0.1,0.4,0.3,341460,-0.2923
2010-11-14,0.3,0.2,0.3,0.3,146410,0
2010-11-21,0.3,0.3,0.3,0.3,73380,0
2010-11-28,0.3,0.2,0.3,0.2,136930,-0.2756
2010-12-05,0.2,0.2,0.2,0.2,66890,0
2010-12-12,0.3,0.2,0.2,0.2,37500,0
2010-12-19,0.3,0.2,0.2,0.2,40100,0
2010-12-26,0.3,0.2,0.2,0.3,62380,0.2005
2011-01-02,0.3,0.3,0.3,0.3,56700,0
2011-01-09,0.4,0.3,0.3,0.4,97030,0.1954
2011-01-16,0.4,0.3,0.4,0.4,82880,0.151
2011-01-23,0.4,0.4,0.4,0.4,64420,0
2011-01-30,0.9,0.4,0.4,0.9,177620,1.0957
2011-02-06,1.1,0.8,0.9,1.1,111640,0.1739
2011-02-13,1.1,0.8,1.1,0.9,70900,-0.1213
2011-02-20,1,0.8,0.9,1,53110,0
2011-02-27,1,0.8,1,0.9,71260,0
2011-03-06,0.9,0.8,0.9,0.9,54390,0
2011-03-13,0.9,0.7,0.9,0.8,47850,-0.1667
2011-03-20,0.9,0.7,0.8,0.9,65510,0.1179
2011-03-27,0.9,0.8,0.9,0.8,37890,-0.0856
2011-04-03,0.8,0.6,0.8,0.7,94680,-0.0665
2011-04-10,1.1,0.7,0.7,1,222100,0.4384
2011-04-17,2,1,1,1.7,230940,0.619
2011-04-24,4.2,1.5,1.7,3.5,315370,1.0588
2011-05-01,3.9,2.5,3.5,3.6,154500,0.04
2011-05-08,8.9,3.6,3.6,7.2,292560,0.978
2011-05-15,8.5,5.6,7.2,6.1,223190,-0.15
